Car_name,Model_year,Present_price,Cost_price,Reselling_price,Km_driven,Fuel,Seller,transmission,owner,Seats,Location,Mileage,Engine,Power
Mahindra Scorpio VLX 2WD ABS AT BSIII,2009,0.51,0.11,0.26,170000,Diesel,Individual,Automatic,Third Owner,5,Delhi,21.5 kmpl,1248 CC,88.8 bhp
Hyundai Santro Xing XG,2003,0.57,0.17,0.32,110000,Petrol,Individual,Manual,Second Owner,5,Ahmedabad,23.5 kmpl,1498 CC,90 bhp
Honda Brio 1.2 S MT,2016,0.58,0.18,0.33,63400,Petrol,Individual,Manual,First Owner,5,Delhi,19.16 kmpl,2494 CC,158.2 bhp
Datsun GO Plus T BSIV,2015,0.75,0.35,0.5,25000,Petrol,Individual,Manual,First Owner,5,Mumbai,22.5 kmpl,998 CC,67.04 bhp
Hyundai i10 Era,2009,6.79,6.39,6.54,80000,Petrol,Individual,Manual,Third Owner,5,Bangalore,11.0 kmpl,2987 CC,198.5 bhp
Maruti Wagon R VXI BS IV,2012,5.7,5.3,5.45,90000,Petrol,Individual,Manual,First Owner,5,Jaipur,21.4 kmpl,1197 CC,83.1 bhp
Hyundai Santro Xing GL,2011,4.6,4.2,4.35,157000,Petrol,Individual,Manual,First Owner,5,Hyderabad,18.7 kmpl,1199 CC,88.7 bhp
Tata Indica Vista Quadrajet LS,2012,4.43,4.03,4.18,80000,Diesel,Individual,Manual,Second Owner,7,Pune,15.4 kmpl,2179 CC,120 bhp
Maruti 800 Std BSII,2006,5.7,5.3,5.45,40000,Petrol,Individual,Manual,Second Owner,5,Mumbai,16.47 kmpl,1198 CC,74 bhp
Mahindra Bolero SLX 2WD,2007,7.13,6.73,6.88,100000,Diesel,Individual,Manual,Second Owner,5,Kolkata,17.0 kmpl,1197 CC,80 bhp
Renault KWID RXT,2017,5.7,5.3,5.45,50000,Petrol,Individual,Manual,First Owner,5,Mumbai,12.1 kmpl,2362 CC,164.7 bhp
Maruti Alto K10 2010-2014 VXI,2011,8.1,7.7,7.85,40000,Petrol,Individual,Manual,First Owner,5,Hyderabad,18.9 kmpl,998 CC,67.1 bhp
Chevrolet Aveo U-VA 1.2 LT WO ABS Airbag,2009,5.7,5.3,5.45,38500,Petrol,Individual,Manual,Second Owner,5,Pune,18.12 kmpl,1995 CC,190 bhp
Hyundai i10 Magna,2008,4.6,4.2,4.35,103921,Petrol,Individual,Manual,Second Owner,5,Chennai,24.07 kmpl,998 CC,67.1 bhp
Hyundai Creta 1.4 EX Diesel,2020,14.79,14.39,14.54,10000,Diesel,Individual,Manual,First Owner,5,Delhi,14.84 kmpl,2143 CC,170 bhp
Honda City i-VTEC VX,2018,13.6,13.2,13.35,14825,Petrol,Dealer,Manual,First Owner,5,Delhi,24.7 kmpl,796 CC,47.3 bhp
Honda BR-V i-DTEC VX MT,2016,6.79,6.39,6.54,43377,Diesel,Dealer,Manual,First Owner,5,Mumbai,18.6 kmpl,1197 CC,85.8 bhp
Ford Figo Diesel Titanium,2010,5.7,5.3,5.45,102307,Diesel,Dealer,Manual,First Owner,5,Kolkata,18.2 kmpl,1199 CC,82.5 bhp
Maruti Zen LX,2004,9.4,9,9.15,79000,Petrol,Individual,Manual,Second Owner,5,Ahmedabad,23.0 kmpl,1396 CC,90 bhp
Skoda Octavia Elegance 2.0 TDI AT,2014,4.43,4.03,4.18,135000,Diesel,Individual,Automatic,Third Owner,5,Delhi,11.9 kmpl,2496 CC,163.2 bhp
Renault KWID 1.0 RXT Optional,2018,4.43,4.03,4.18,10500,Petrol,Individual,Manual,First Owner,5,Kochi,21.43 kmpl,1364 CC,87.2 bhp
Maruti Wagon R LXI,2004,9.4,9,9.15,90000,Petrol,Individual,Manual,Fourth & Above Owner,7,Hyderabad,13.0 kmpl,2982 CC,168.5 bhp
Chevrolet Beat Diesel,2012,9.4,9,9.15,110000,Diesel,Individual,Manual,First Owner,5,Pune,14.3 kmpl,1598 CC,103.52 bhp
Chevrolet Beat Diesel LS,2012,4.43,4.03,4.18,50000,Diesel,Individual,Manual,First Owner,5,Mumbai,16.5 kmpl,1198 CC,86.8 bhp
Chevrolet Sail Hatchback LT ABS,2013,6.79,6.39,6.54,80000,Diesel,Individual,Manual,First Owner,5,Jaipur,16.47 kmpl,1198 CC,73.9 bhp
Honda Jazz 1.5 VX i DTEC,2018,7.6,7.2,7.35,19571,Diesel,Dealer,Manual,First Owner,5,Delhi,16.47 kmpl,1198 CC,73.9 bhp
Honda City 1.3 EXI,2002,9.4,9,9.15,100000,Petrol,Individual,Manual,First Owner,5,Pune,18.2 kmpl,998 CC,67.1 bhp
Honda City i-VTEC ZX,2018,9.4,9,9.15,29600,Petrol,Dealer,Manual,First Owner,5,Kochi,23.59 kmpl,1364 CC,67.06 bhp
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,4.6,4.2,4.35,20000,Diesel,Individual,Manual,First Owner,7,Ahmedabad,15.1 kmpl,2179 CC,140 bhp
Hyundai EON D Lite,2016,5.7,5.3,5.45,30000,Petrol,Individual,Manual,First Owner,5,Chennai,18.9 kmpl,1197 CC,82 bhp
Hyundai Getz 1.5 CRDi GVS,2008,4.43,4.03,4.18,154000,Diesel,Individual,Manual,Third Owner,5,Kochi,22.7 kmpl,1498 CC,89.84 bhp
Maruti Swift LXI,2011,9.4,9,9.15,70000,Petrol,Individual,Manual,First Owner,7,Mumbai,17.5 km/kg,1373 CC,80.46 bhp
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,6.79,6.39,6.54,15000,Diesel,Individual,Automatic,First Owner,5,Coimbatore,18.0 kmpl,1497 CC,117.3 bhp
Renault Lodgy Stepway 85PS RXZ 8S,2017,9.4,9,9.15,40000,Diesel,Individual,Manual,First Owner,5,Kolkata,17.0 kmpl,1497 CC,118 bhp
Maruti Swift VXI,2019,9.4,9,9.15,51000,Petrol,Individual,Manual,First Owner,5,Kochi,23.1 kmpl,998 CC,67.04 bhp
Maruti Alto LX BSIII,2008,14.79,14.39,14.54,120000,Petrol,Individual,Manual,Second Owner,5,Pune,15.04 kmpl,1598 CC,103.6 bhp
Maruti Celerio LXI MT BSIV,2019,5.7,5.3,5.45,50000,Petrol,Individual,Manual,First Owner,7,Hyderabad,11.36 kmpl,2755 CC,171.5 bhp
Renault Captur 1.5 Diesel RXT,2017,5.7,5.3,5.45,13500,Diesel,Individual,Manual,First Owner,5,Delhi,18.5 kmpl,1197 CC,80 bhp
Toyota Etios 1.5 V,2016,9.4,9,9.15,35000,Petrol,Individual,Manual,First Owner,5,Kolkata,23.2 kmpl,1248 CC,73.94 bhp
Renault Duster 85PS Diesel RxL,2013,4.43,4.03,4.18,1000,Diesel,Dealer,Manual,Second Owner,5,Delhi,17.68 kmpl,1968 CC,174.33 bhp
Mercedes-Benz C-Class Progressive C 220d,2018,13.6,13.2,13.35,10000,Diesel,Dealer,Automatic,First Owner,5,Bangalore,13.24 kmpl,1598 CC,102.57 bhp
Audi A4 3.0 TDI Quattro,2013,9.4,9,9.15,86000,Diesel,Dealer,Automatic,First Owner,5,Hyderabad,13.5 kmpl,1799 CC,130 bhp
BMW X5 xDrive 30d xLine,2019,4.43,4.03,4.18,30000,Diesel,Dealer,Automatic,First Owner,5,Jaipur,23.84 kmpl,1199 CC,84 bhp
Hyundai Creta 1.6 CRDi SX,2016,9.4,9,9.15,52600,Diesel,Individual,Manual,First Owner,5,Hyderabad,16.55 kmpl,1968 CC,147.51 bhp
Maruti SX4 Vxi BSIV,2012,7.13,6.73,6.88,110000,Petrol,Individual,Manual,Second Owner,5,Coimbatore,19.1 kmpl,1197 CC,85.8 bhp
Hyundai Grand i10 1.2 Kappa Magna AT,2017,7.13,6.73,6.88,19890,Petrol,Dealer,Automatic,First Owner,7,Hyderabad,14.24 kmpl,2755 CC,174.5 bhp
Maruti Swift ZXI BSIV,2016,7.6,7.2,7.35,7104,Petrol,Trustmark Dealer,Manual,First Owner,5,Mumbai,15.26 kmpl,2143 CC,203.2 bhp
Maruti Ertiga VXI,2015,9.4,9,9.15,11918,Petrol,Trustmark Dealer,Manual,First Owner,5,Kochi,21.9 kmpl,1396 CC,90 bhp
Hyundai Grand i10 Magna AT,2017,9.4,9,9.15,10510,Petrol,Dealer,Automatic,First Owner,5,Mumbai,21.5 kmpl,1197 CC,81.80 bhp
Chevrolet Beat LT Option,2016,6.79,6.39,6.54,41000,Petrol,Dealer,Manual,First Owner,5,Bangalore,20.54 kmpl,1598 CC,103.6 bhp
Toyota Fortuner 4x2 AT,2017,9.4,9,9.15,47162,Diesel,Trustmark Dealer,Automatic,First Owner,5,Kolkata,19.1 kmpl,1197 CC,85.8 bhp
Maruti S-Cross Zeta DDiS 200 SH,2015,4.6,4.2,4.35,45974,Diesel,Trustmark Dealer,Manual,First Owner,5,Kolkata,20.4 kmpl,1248 CC,91.7 bhp
Hyundai i10 Magna,2012,7.6,7.2,7.35,49824,Petrol,Dealer,Manual,First Owner,5,Bangalore,17.0 kmpl,1497 CC,118 bhp
Audi A6 2.0 TDI Premium Plus,2013,13.6,13.2,13.35,58500,Diesel,Dealer,Automatic,First Owner,5,Hyderabad,19.67 kmpl,1582 CC,126.2 bhp
Hyundai Santro GS,2005,9.9,9.5,9.65,56580,Petrol,Dealer,Manual,First Owner,5,Hyderabad,25.6 kmpl,1498 CC,98.6 bhp
Skoda Laura Ambiente 2.0 TDI CR MT,2012,6.82,6.42,6.57,52000,Diesel,Dealer,Manual,First Owner,5,Hyderabad,14.0 kmpl,796 CC,35 bhp
Hyundai Verna 1.6 VTVT SX,2015,9.9,9.5,9.65,55340,Petrol,Trustmark Dealer,Manual,First Owner,5,Chennai,20.4 kmpl,1197 CC,81.80 bhp
Maruti Swift Dzire VDI,2017,9.9,9.5,9.65,46507,Diesel,Trustmark Dealer,Manual,First Owner,5,Coimbatore,14.0 kmpl,2987 CC,224 bhp
Renault Duster 85PS Diesel RxL,2013,5.35,4.95,5.1,1000,Diesel,Dealer,Manual,Second Owner,5,Ahmedabad,24.7 kmpl,796 CC,47.3 bhp
Mercedes-Benz C-Class Progressive C 220d,2018,13.6,13.2,13.35,10000,Diesel,Dealer,Automatic,First Owner,5,Delhi,15.6 kmpl,1196 CC,70 bhp
Audi A4 3.0 TDI Quattro,2013,13.6,13.2,13.35,86000,Diesel,Dealer,Automatic,First Owner,7,Hyderabad,13.68 kmpl,2393 CC,147.8 bhp
BMW X5 xDrive 30d xLine,2019,13.6,13.2,13.35,30000,Diesel,Dealer,Automatic,First Owner,5,Mumbai,18.48 kmpl,1995 CC,177 bhp
Hyundai Creta 1.6 CRDi SX,2016,7,6.6,6.75,52600,Diesel,Individual,Manual,First Owner,7,Bangalore,13.01 kmpl,2199 CC,194.3 bhp
Maruti SX4 Vxi BSIV,2012,13.6,13.2,13.35,110000,Petrol,Individual,Manual,Second Owner,5,Ahmedabad,22.48 kmpl,1995 CC,190 bhp
Hyundai Grand i10 1.2 Kappa Magna AT,2017,5.97,5.57,5.72,19890,Petrol,Dealer,Automatic,First Owner,5,Hyderabad,17.8 kmpl,1399 CC,68 bhp
Maruti Swift ZXI BSIV,2016,5.8,5.4,5.55,7104,Petrol,Trustmark Dealer,Manual,First Owner,5,Bangalore,23.59 kmpl,1364 CC,null bhp
Maruti Ertiga VXI,2015,7.7,7.3,7.45,11918,Petrol,Trustmark Dealer,Manual,First Owner,5,Coimbatore,12.7 kmpl,2179 CC,187.7 bhp
Hyundai Grand i10 Magna AT,2017,7,6.6,6.75,10510,Petrol,Dealer,Automatic,First Owner,7,Pune,18.3 kmpl,2180 CC,187.7 bhp
Chevrolet Beat LT Option,2016,8.7,8.3,8.45,41000,Petrol,Dealer,Manual,First Owner,5,Kolkata,19.7 kmpl,796 CC,46.3 bhp
Toyota Fortuner 4x2 AT,2017,7,6.6,6.75,47162,Diesel,Trustmark Dealer,Automatic,First Owner,7,Jaipur,11.5 kmpl,2982 CC,171 bhp
Maruti S-Cross Zeta DDiS 200 SH,2015,9.4,9,9.15,45974,Diesel,Trustmark Dealer,Manual,First Owner,10,Pune,0.0 kmpl,2446 CC,null bhp
Hyundai i10 Magna,2012,5.8,5.4,5.55,49824,Petrol,Dealer,Manual,First Owner,5,Mumbai,15.8 kmpl,1499 CC,110 bhp
Audi A6 2.0 TDI Premium Plus,2013,10,9.6,9.75,58500,Diesel,Dealer,Automatic,First Owner,5,Mumbai,21.4 kmpl,1197 CC,83.1 bhp
Hyundai Santro GS,2005,10,9.6,9.75,56580,Petrol,Dealer,Manual,First Owner,5,Mumbai,23.8 kmpl,1998 CC,112 bhp
Skoda Laura Ambiente 2.0 TDI CR MT,2012,10,9.6,9.75,52000,Diesel,Dealer,Manual,First Owner,5,Mumbai,17.01 kmpl,1591 CC,121.4 bhp
Hyundai Verna 1.6 VTVT SX,2015,10,9.6,9.75,55340,Petrol,Trustmark Dealer,Manual,First Owner,5,Pune,20.0 kmpl,1399 CC,68 bhp
Maruti Swift Dzire VDI,2017,7.5,7.1,7.25,46507,Diesel,Trustmark Dealer,Manual,First Owner,5,Pune,25.8 kmpl,1498 CC,98.6 bhp
Maruti Baleno Alpha 1.3,2017,6.8,6.4,6.55,70000,Diesel,Individual,Manual,First Owner,5,Pune,19.01 kmpl,1461 CC,108.45 bhp
Chevrolet Spark 1.0 LS,2011,13.6,13.2,13.35,60000,Petrol,Individual,Manual,Second Owner,5,Delhi,23.0 kmpl,1498 CC,98.96 bhp
Maruti Alto LXi,2011,13.6,13.2,13.35,70000,Petrol,Individual,Manual,First Owner,4,Jaipur,11.2 kmpl,2993 CC,241 bhp
Datsun GO Plus A Option Petrol,2018,13.6,13.2,13.35,10000,Petrol,Individual,Manual,Second Owner,7,Mumbai,14.24 kmpl,2755 CC,174.5 bhp
Hyundai Accent CRDi,2006,8.4,8,8.15,245244,Diesel,Individual,Manual,Fourth & Above Owner,5,Pune,13.45 km/kg,1086 CC,62.1 bhp
Renault KWID 1.0 RXT Optional,2017,13.6,13.2,13.35,60000,Petrol,Individual,Manual,First Owner,7,Kochi,11.18 kmpl,2696 CC,184 bhp
Tata Tiago 1.2 Revotron XE,2016,5.9,5.5,5.65,30000,Petrol,Individual,Manual,First Owner,5,Kolkata,23.1 kmpl,998 CC,67.04 bhp
Maruti Alto 800 Base,2012,7.6,7.2,7.35,8000,Petrol,Individual,Manual,First Owner,5,Jaipur,18.6 kmpl,1197 CC,81.83 bhp
Tata Tigor 1.2 Revotron XM,2019,14,13.6,13.75,10000,Petrol,Individual,Manual,First Owner,5,Bangalore,18.88 kmpl,999 CC,123.24 bhp
Hyundai Accent CRDi,2002,11.8,11.4,11.55,100000,Diesel,Individual,Manual,Third Owner,5,Jaipur,26.21 kmpl,1248 CC,88.5 bhp
Nissan Sunny Diesel XL,2012,5.9,5.5,5.65,110000,Diesel,Individual,Manual,First Owner,5,Pune,17.11 kmpl,1968 CC,174.33 bhp
Hyundai Santro GS,2005,8.5,8.1,8.25,56580,Petrol,Dealer,Manual,First Owner,5,Delhi,18.0 kmpl,1198 CC,86.7 bhp
Mahindra XUV500 AT W8 FWD,2015,7.9,7.5,7.65,45000,Diesel,Dealer,Automatic,First Owner,5,Kochi,15.63 kmpl,1499 CC,110.4 bhp
Hyundai Santro Xing XG,2005,7.5,7.1,7.25,68500,Petrol,Dealer,Manual,First Owner,5,Hyderabad,20.92 kmpl,998 CC,67.1 bhp
Hyundai Santro Sportz AMT,2019,13.6,13.2,13.35,5007,Petrol,Dealer,Automatic,First Owner,5,Bangalore,16.77 kmpl,2967 CC,241.38 bhp
Nissan Micra Active XV S,2013,13.6,13.2,13.35,30000,Petrol,Individual,Manual,First Owner,5,Kolkata,18.33 kmpl,1968 CC,167.7 bhp
Honda City 1.5 V AT,2008,6.4,6,6.15,70000,Petrol,Individual,Automatic,First Owner,5,Kochi,28.4 kmpl,1248 CC,74 bhp
Mercedes-Benz E-Class E250 CDI Elegance,2011,6.1,5.7,5.85,49600,Diesel,Dealer,Automatic,First Owner,5,Chennai,19.2 kmpl,1461 CC,65 bhp
Maruti Alto LXI,2005,8.4,8,8.15,23000,Petrol,Individual,Manual,Second Owner,5,Kochi,21.56 kmpl,1462 CC,103.25 bhp
BMW 7 Series 730Ld,2006,9.9,9.5,9.65,30000,Diesel,Dealer,Automatic,First Owner,4,Coimbatore,26.0 kmpl,624 CC,35 bhp
Hyundai Verna 1.6 VTVT,2010,6.8,6.4,6.55,38000,Petrol,Dealer,Manual,First Owner,5,Delhi,16.8 kmpl,1497 CC,118 bhp
Audi Q5 3.0 TDI Quattro Technology,2018,13.09,12.69,12.84,22000,Diesel,Dealer,Automatic,First Owner,5,Coimbatore,18.16 kmpl,1196 CC,86.8 bhp
Hyundai i10 Sportz 1.2,2011,11.6,11.2,11.35,43100,Petrol,Dealer,Manual,First Owner,5,Delhi,22.54 kmpl,1396 CC,88.73 bhp
Datsun GO Plus T,2017,5.9,5.5,5.65,10171,Petrol,Dealer,Manual,First Owner,5,Mumbai,18.88 kmpl,1499 CC,110.4 bhp
Renault Duster 110PS Diesel RxL,2015,11,10.6,10.75,41123,Diesel,Dealer,Manual,First Owner,5,Hyderabad,16.55 kmpl,1968 CC,147.51 bhp
Toyota Camry Hybrid 2.5,2017,12.5,12.1,12.25,20118,Petrol,Dealer,Automatic,First Owner,5,Hyderabad,20.58 kmpl,1995 CC,143 bhp
Honda City i DTec SV,2014,5.9,5.5,5.65,40000,Diesel,Dealer,Manual,First Owner,7,Bangalore,13.93 kmpl,2179 CC,138.03 bhp
Volkswagen Jetta 2.0L TDI Highline,2015,6.8,6.4,6.55,52517,Diesel,Dealer,Manual,First Owner,8,Jaipur,12.05 kmpl,2179 CC,120 bhp
Mahindra Marazzo M2 8Str,2019,7.2,6.8,6.95,20000,Diesel,Individual,Manual,First Owner,5,Coimbatore,15.29 kmpl,1591 CC,121.3 bhp
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,5.5,5.1,5.25,99117,Diesel,Dealer,Manual,First Owner,5,Chennai,16.9 kmpl,1497 CC,100 bhp
Chevrolet Spark 1.0 LS,2009,6.6,6.2,6.35,90000,Petrol,Individual,Manual,First Owner,5,Delhi,17.05 kmpl,1995 CC,184 bhp
Maruti Celerio ZXI MT BSIV,2019,5.4,5,5.15,3700,Petrol,Individual,Manual,First Owner,2,Mumbai,9.0 kmpl,3436 CC,null bhp
Tata Indica Vista Terra 1.4 TDI,2010,8.1,7.7,7.85,80000,Diesel,Individual,Manual,First Owner,6,Hyderabad,14.7 kmpl,2993 CC,241.4 bhp
Ford EcoSport 1.5 TDCi Titanium BSIV,2015,4.2,3.8,3.95,100000,Diesel,Individual,Manual,Second Owner,5,Chennai,19.7 kmpl,796 CC,46.3 bhp
Tata Indica Vista Aqua 1.4 TDI,2011,4.3,3.9,4.05,54000,Diesel,Individual,Manual,First Owner,5,Mumbai,19.2 kmpl,1197 CC,80 bhp
Hyundai EON Era Plus,2017,2.9,2.5,2.65,19000,Petrol,Individual,Manual,First Owner,5,Delhi,14.62 kmpl,1999 CC,149.92 bhp
Maruti Swift Dzire VDI,2014,6.9,6.5,6.65,120000,Diesel,Individual,Manual,First Owner,5,Delhi,28.09 kmpl,1248 CC,88.5 bhp
Maruti Wagon R VXI BS IV,2014,6.5,6.1,6.25,30000,Petrol,Individual,Manual,First Owner,5,Coimbatore,15.3 kmpl,2993 CC,258 bhp
Honda BRV i-VTEC V MT,2017,11.2,10.8,10.95,43500,Petrol,Individual,Manual,First Owner,9,Kolkata,13.58 kmpl,2499 CC,78 bhp
Renault KWID RXT,2016,22.3,21.9,22.05,60000,Petrol,Individual,Manual,Second Owner,5,Mumbai,20.64 kmpl,1498 CC,108.5 bhp
Renault KWID RXT Optional,2016,6.9,6.5,6.65,70000,Petrol,Individual,Manual,Second Owner,5,Mumbai,17.8 kmpl,1497 CC,117.3 bhp
Skoda Octavia Elegance 2.0 TDI AT,2014,9.8,9.4,9.55,135000,Diesel,Individual,Automatic,Third Owner,5,Kolkata,20.4 kmpl,1197 CC,81.80 bhp
Chevrolet Beat Diesel LS,2012,6.5,6.1,6.25,50000,Diesel,Individual,Manual,First Owner,5,Kolkata,19.33 kmpl,1968 CC,138.1 bhp
Honda Jazz 1.5 VX i DTEC,2018,4.6,4.2,4.35,19571,Diesel,Dealer,Manual,First Owner,5,Delhi,18.6 kmpl,1197 CC,81.83 bhp
Honda City i-VTEC ZX,2018,6.3,5.9,6.05,29600,Petrol,Dealer,Manual,First Owner,7,Bangalore,15.1 kmpl,2179 CC,140 bhp
Maruti Swift LXI,2011,8.9,8.5,8.65,70000,Petrol,Individual,Manual,First Owner,5,Coimbatore,18.0 kmpl,2987 CC,258 bhp
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,9.1,8.7,8.85,15000,Diesel,Individual,Automatic,First Owner,5,Kolkata,23.1 kmpl,998 CC,67.04 bhp
Maruti Celerio LXI MT BSIV,2019,9.4,9,9.15,50000,Petrol,Individual,Manual,First Owner,5,Mumbai,15.04 kmpl,1598 CC,103.2 bhp
Renault Captur 1.5 Diesel RXT,2017,5.8,5.4,5.55,13500,Diesel,Individual,Manual,First Owner,4,Pune,23.9 kmpl,624 CC,37.48 bhp
Audi A4 30 TFSI Technology,2018,5.7,5.3,5.45,22000,Petrol,Individual,Automatic,First Owner,5,Delhi,25.0 km/kg,1197 CC,81.86 bhp
Honda Amaze VX Diesel BSIV,2018,2.8,2.4,2.55,25000,Diesel,Dealer,Manual,First Owner,5,Chennai,22.77 kmpl,1498 CC,98.59 bhp
Toyota Corolla Altis 1.8 VL AT,2010,5.2,4.8,4.95,80000,Petrol,Individual,Automatic,Third Owner,,Pune,16.1 kmpl,1499 CC,98.59 bhp
Honda Amaze VX Petrol BSIV,2018,9.6,9.2,9.35,39000,Petrol,Dealer,Manual,First Owner,5,Coimbatore,14.62 kmpl,1999 CC,149.92 bhp
Maruti Alto 800 VXI,2016,8.7,8.3,8.45,60000,Petrol,Individual,Manual,First Owner,8,Coimbatore,18.2 kmpl,1248 CC,73.74 bhp
Honda Amaze VX Diesel BSIV,2018,4.4,4,4.15,49000,Diesel,Dealer,Manual,First Owner,5,Chennai,15.97 kmpl,2993 CC,258 bhp
Honda Amaze VX i-VTEC,2018,4.5,4.1,4.25,48600,Petrol,Dealer,Manual,First Owner,5,Jaipur,20.14 kmpl,1498 CC,88.8 bhp
Hyundai Grand i10 Asta Option,2017,4.5,4.1,4.25,20000,Petrol,Individual,Manual,Second Owner,5,Mumbai,16.25 kmpl,1198 CC,75 bhp
Mahindra KUV 100 mFALCON G80 K2,2016,4.7,4.3,4.45,25000,Petrol,Individual,Manual,First Owner,5,Chennai,20.54 kmpl,1598 CC,103.6 bhp
Maruti Zen Estilo Sports,2008,5.4,5,5.15,120000,Petrol,Individual,Manual,First Owner,7,Hyderabad,11.18 kmpl,2696 CC,184 bhp
Maruti Ertiga ZDI Plus,2019,5.6,5.2,5.35,30000,Diesel,Individual,Manual,First Owner,5,Mumbai,19.87 kmpl,1461 CC,83.14 bhp
Renault Lodgy 85PS RxL,2015,7,6.6,6.75,35000,Diesel,Individual,Manual,First Owner,7,Ahmedabad,12.9 kmpl,2755 CC,174.5 bhp
Maruti Swift VXI,2013,5,4.6,4.75,90000,Petrol,Individual,Manual,First Owner,,Mumbai,16.1 kmpl,,
Hyundai Verna CRDi ABS,2007,6,5.6,5.75,80000,Diesel,Individual,Manual,Second Owner,5,Jaipur,11.3 kmpl,1794 CC,125 bhp
Mercedes-Benz E-Class 230,1998,2.3,1.9,2.05,35000,Petrol,Individual,Automatic,Second Owner,5,Kochi,20.36 kmpl,1197 CC,78.9 bhp
Maruti Alto 800 LXI,2013,4.4,4,4.15,25000,Petrol,Individual,Manual,Second Owner,5,Bangalore,23.0 kmpl,1396 CC,90 bhp
Tata Xenon XT EX 4X2,2014,4.6,4.2,4.35,90000,Diesel,Individual,Manual,First Owner,5,Pune,25.8 kmpl,1498 CC,98.6 bhp
Maruti Alto 800 LXI,2013,6.7,6.3,6.45,25000,Petrol,Individual,Manual,Second Owner,5,Jaipur,22.32 kmpl,1582 CC,126.32 bhp
Renault KWID 1.0 RXT Optional,2016,6.5,6.1,6.25,20000,Petrol,Individual,Manual,First Owner,5,Mumbai,17.9 kmpl,2143 CC,136 bhp
Maruti Omni 5 Str STD,1998,6,5.6,5.75,60000,Petrol,Dealer,Manual,Third Owner,5,Coimbatore,20.14 kmpl,1498 CC,88.8 bhp
Maruti Swift Dzire VDI,2015,5.5,5.1,5.25,58000,Diesel,Individual,Manual,First Owner,5,Hyderabad,0.0 kmpl,999 CC,null bhp
Maruti Wagon R LX BS IV,2014,5.7,5.3,5.45,40000,Petrol,Dealer,Manual,First Owner,5,Kochi,21.4 kmpl,1197 CC,83.1 bhp
Maruti Wagon R LXI,2005,6.7,6.3,6.45,70000,Petrol,Individual,Manual,Second Owner,5,Hyderabad,22.9 kmpl,1248 CC,74 bhp
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),2012,8.9,8.5,8.65,70000,Diesel,Dealer,Manual,First Owner,8,Chennai,14.0 kmpl,2489 CC,95 bhp
Hyundai Santro Xing GLS,2013,9,8.6,8.75,60000,Petrol,Individual,Manual,First Owner,5,Bangalore,22.7 kmpl,1498 CC,89.84 bhp
Toyota Innova 2.5 V Diesel 7-seater,2014,7.7,7.3,7.45,135000,Diesel,Dealer,Manual,First Owner,7,Delhi,15.1 kmpl,2179 CC,140 bhp
Maruti Omni 8 Seater BSII,2015,6.7,6.3,6.45,70000,Petrol,Dealer,Manual,First Owner,5,Hyderabad,18.6 kmpl,1199 CC,79.4 bhp
Mercedes-Benz B Class B180 Sports,2013,6.5,6.1,6.25,40000,Petrol,Individual,Automatic,Second Owner,5,Bangalore,17.01 kmpl,1591 CC,121.3 bhp
Mahindra XUV500 W10 2WD,2015,5.6,5.2,5.35,75000,Diesel,Dealer,Manual,Second Owner,5,Kolkata,18.9 kmpl,1197 CC,82 bhp
Skoda Fabia 1.2L Diesel Ambiente,2010,7,6.6,6.75,150000,Diesel,Individual,Manual,First Owner,5,Bangalore,19.01 kmpl,1461 CC,108.45 bhp
Toyota Etios VD,2012,8,7.6,7.75,140000,Diesel,Individual,Manual,Third Owner,5,Coimbatore,19.1 kmpl,1197 CC,81.86 bhp
Toyota Etios Liva VD,2015,9,8.6,8.75,70000,Diesel,Individual,Manual,First Owner,5,Delhi,20.36 kmpl,1197 CC,78.9 bhp
Toyota Etios Liva GD,2012,3.4,3,3.15,137250,Diesel,Individual,Manual,Second Owner,5,Delhi,13.7 kmpl,1991 CC,183 bhp
Mahindra Scorpio M2DI,2013,5.1,4.7,4.85,110000,Diesel,Individual,Manual,Second Owner,5,Coimbatore,15.8 kmpl,2148 CC,170 bhp
Hyundai Grand i10 Asta Option,2017,5.2,4.8,4.95,27000,Petrol,Dealer,Manual,First Owner,5,Delhi,15.04 kmpl,1991 CC,183 bhp
Hyundai Verna CRDi 1.6 SX Option,2019,6.7,6.3,6.45,9000,Diesel,Dealer,Manual,First Owner,5,Kolkata,22.32 kmpl,1582 CC,126.32 bhp
Volkswagen Vento 1.5 TDI Highline BSIV,2019,4.5,4.1,4.25,5400,Diesel,Dealer,Manual,Test Drive Car,9,Chennai,14.95 kmpl,2489 CC,93.7 bhp
Renault KWID Climber 1.0 MT Opt BSIV,2020,3.1,2.7,2.85,1000,Petrol,Dealer,Manual,Test Drive Car,5,Delhi,26.59 kmpl,1248 CC,74 bhp
Hyundai Santro Asta,2018,3.5,3.1,3.25,16000,Petrol,Dealer,Manual,First Owner,5,Ahmedabad,20.36 kmpl,1197 CC,78.9 bhp
